mail.ru,mail.ru/,Почта Mail.Ru,7094149,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3292935,83
Lenta,lenta.ru,Lenta.Ru,3175227,80
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3170954,83
kp,kp.ru,Комсомольская правда-Digital,2547463,69
mic_izvestia,iz.ru,Известия,2187052,82
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2090267,84
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1663963,92
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,1574799,73
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1406257,75
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1389698,84
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1317817,82
TASS_total,tass.ru,ТАСС - Новости в России и мире,1195267,87
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1167623,73
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1135042,81
drom,www.drom.ru,Дром - цены на машины,1112353,88
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1068092,81
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1017086,82
Lentainform,lentainform.com/,Lentainform.com - Новостной агрегатор,1003897,73
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,931117,89
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,893386,78
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,744006,84
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,699387,79
farpost,farpost.ru,Сайты Владивостока,673332,96
russian.rt.com,russian.rt.com/,RT на русском,655480,80
kp/radiokpru,radiokp.ru,Радио &quot;Комсомольская правда&quot;,634361,69
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,601907,94
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,593007,68
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",574057,81
riafan.ru,riafan.ru/,Федеральное агентство новостей,545163,81
mail.ru,mail.ru/,Почта Mail.Ru,7094149,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3292935,83
Lenta,lenta.ru,Lenta.Ru,3175227,80
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3170954,83
kp,kp.ru,Комсомольская правда-Digital,2547463,69
mic_izvestia,iz.ru,Известия,2187052,82
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2090267,84
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1663963,92
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,1574799,73
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1406257,75
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1389698,84
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1317817,82
TASS_total,tass.ru,ТАСС - Новости в России и мире,1195267,87
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1167623,73
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1135042,81
drom,www.drom.ru,Дром - цены на машины,1112353,88
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1068092,81
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1017086,82
Lentainform,lentainform.com/,Lentainform.com - Новостной агрегатор,1003897,73
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,931117,89
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,893386,78
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,744006,84
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,699387,79
farpost,farpost.ru,Сайты Владивостока,673332,96
russian.rt.com,russian.rt.com/,RT на русском,655480,80
kp/radiokpru,radiokp.ru,Радио &quot;Комсомольская правда&quot;,634361,69
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,601907,94
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,593007,68
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",574057,81
riafan.ru,riafan.ru/,Федеральное агентство новостей,545163,81
CIAN,www.cian.ru/,ЦИАН ГРУПП - Лидер онлайн недвижимости России,522266,92
regnum.ru,regnum.ru/,ИА REGNUM,517436,85
e1_ru,e1.ru,E1.RU — Екатеринбург Он-Лайн,507214,95
tutu.ru,tutu.ru/,"Туту.ру - авиа и ж/д билеты, отели, информация для путешественников",496377,92
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,477125,76
starhit.ru,starhit.ru/,Starhit.ru – Новости шоу-бизнеса,476077,82
hsdigital/rn/smi/66,e1.ru,Е1.RU - Екатеринбург онлайн. Shkulev Digital,463847,95
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",438301,76
rugion,rugion.ru/,Сеть региональных сайтов &quot;Ругион&quot;,423873,89
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,413639,86
profile.ru,www.profile.ru/,Журнал &quot;Профиль&quot;,412078,60
rusprofile.ru,rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,406615,94
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",398484,76
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,390133,75
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,383777,52
vokrug.tv,www.vokrug.tv/,"Вокруг ТВ - телегид, телепрограмма и энциклопедия телевидения",372093,64
mail-my,my.mail.ru/,Мой Мир Mail.Ru,355387,71
fontanka.ru,fontanka.ru/,Фонтанка.Ру - новости Петербурга,334812,90
dni.ru,dni.ru/,ДНИ ру - интернет-газета,321656,73
Sportbox,www.sportbox.ru,Sportbox.ru,320450,88
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",320210,63
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",320126,82
eg.ru,www.eg.ru/,"ЭКСПРЕСС газета - новости, аналитика, истории",318471,72
sport24.ru,sport24.ru/,Sport24,313843,87
baza.drom.ru,baza.drom.ru/,Объединенная база запчастей,305302,90
